"emp_no","birth_date","first_name","last_name","gender","hire_date"
271257,"1964-02-27 00:00:00","Sushant","Ghemri","F","1986-12-29 00:00:00"
18452,"1961-04-08 00:00:00","Brewster","Holburn","F","1986-12-29 00:00:00"
271399,"1957-03-30 00:00:00","KayLiang","Erman","M","1986-12-29 00:00:00"
38191,"1952-08-06 00:00:00","Huei","Suomi","F","1986-12-29 00:00:00"
254663,"1954-11-20 00:00:00","Bernd","Shackell","M","1986-12-29 00:00:00"
203028,"1964-02-27 00:00:00","Hideyuki","Atrawala","F","1986-12-29 00:00:00"
273169,"1963-02-19 00:00:00","Kannan","Impagliazzo","F","1986-12-29 00:00:00"
466759,"1953-05-10 00:00:00","Ferdinand","Ashish","M","1986-12-29 00:00:00"
57728,"1961-06-29 00:00:00","Manu","Krzyzanowski","F","1986-12-29 00:00:00"
262793,"1960-12-09 00:00:00","Bilhanan","Gulak","M","1986-12-29 00:00:00"
60208,"1960-09-02 00:00:00","Heeju","Thiria","F","1986-12-29 00:00:00"
211637,"1952-07-09 00:00:00","Kwee","Khamsi","F","1986-12-29 00:00:00"
481003,"1959-04-07 00:00:00","Val","Facello","M","1986-12-29 00:00:00"
480994,"1954-06-06 00:00:00","Berry","Alpay","M","1986-12-29 00:00:00"
205490,"1957-09-07 00:00:00","Irene","Demian","M","1986-12-29 00:00:00"
25479,"1953-12-24 00:00:00","Paddy","Tchuente","M","1986-12-29 00:00:00"
212073,"1958-12-15 00:00:00","Lech","Binding","F","1986-12-29 00:00:00"
35834,"1959-06-26 00:00:00","Arvin","Steinauer","M","1986-12-29 00:00:00"
490979,"1953-07-24 00:00:00","Shir","Heping","M","1986-12-29 00:00:00"
35719,"1958-10-13 00:00:00","Kensei","Waschkowski","M","1986-12-29 00:00:00"
461131,"1955-02-25 00:00:00","Sachar","Liedekerke","F","1986-12-29 00:00:00"
280109,"1961-04-22 00:00:00","Luerbio","Reistad","F","1986-12-29 00:00:00"
428260,"1954-03-22 00:00:00","Leszek","Binding","M","1986-12-29 00:00:00"
409692,"1964-05-27 00:00:00","Moto","Spell","M","1986-12-29 00:00:00"
212901,"1959-05-16 00:00:00","Arnd","Naumovich","M","1986-12-29 00:00:00"
79465,"1962-12-09 00:00:00","Tadahiro","Swen","M","1986-12-29 00:00:00"
250570,"1957-11-23 00:00:00","Sajjan","Lung","M","1986-12-29 00:00:00"
73160,"1962-07-06 00:00:00","Sanjoy","Back","M","1986-12-29 00:00:00"
35358,"1959-02-28 00:00:00","Xiping","Perelgut","F","1986-12-29 00:00:00"
61511,"1955-04-19 00:00:00","Maha","Heping","F","1986-12-29 00:00:00"
79979,"1955-10-26 00:00:00","Yunming","Papsdorf","M","1986-12-29 00:00:00"
281715,"1960-08-03 00:00:00","Xiaobin","Kilgour","M","1986-12-29 00:00:00"
223946,"1961-12-18 00:00:00","Magdalena","Berztiss","M","1986-12-29 00:00:00"
53313,"1957-09-02 00:00:00","Nahla","Trumbly","M","1986-12-29 00:00:00"
70660,"1956-07-31 00:00:00","Gaetan","Christianini","M","1986-12-29 00:00:00"
478508,"1953-04-22 00:00:00","Eric","Shackell","M","1986-12-29 00:00:00"
478489,"1956-01-20 00:00:00","Hironoby","Stamatiou","M","1986-12-29 00:00:00"
236184,"1963-02-05 00:00:00","Giri","Ramamoorthy","F","1986-12-29 00:00:00"
408050,"1955-12-24 00:00:00","Heejo","Veeraraghavan","M","1986-12-29 00:00:00"
492341,"1953-05-23 00:00:00","Odysseas","Menhardt","F","1986-12-29 00:00:00"
407729,"1959-05-22 00:00:00","Remmert","Bisiani","F","1986-12-29 00:00:00"
433776,"1954-07-04 00:00:00","Kauko","Castellani","F","1986-12-29 00:00:00"
80916,"1960-01-04 00:00:00","Paloma","Perna","F","1986-12-29 00:00:00"
285844,"1958-09-14 00:00:00","Zhenbing","Bazzichi","M","1986-12-29 00:00:00"
287005,"1956-05-07 00:00:00","Menkae","Beutelspacher","F","1986-12-29 00:00:00"
445577,"1963-06-29 00:00:00","Dmitry","Speckmann","M","1986-12-29 00:00:00"
432667,"1961-11-21 00:00:00","Kellyn","Bratten","F","1986-12-29 00:00:00"
432660,"1960-06-10 00:00:00","Almudena","Takanami","M","1986-12-29 00:00:00"
496863,"1961-12-19 00:00:00","Phule","Rubsam","F","1986-12-29 00:00:00"
47358,"1952-05-29 00:00:00","Tommaso","Lieberherr","M","1986-12-29 00:00:00"
70646,"1961-08-21 00:00:00","Maria","Krohm","F","1986-12-29 00:00:00"
431769,"1953-11-02 00:00:00","Abdulla","Benaini","M","1986-12-29 00:00:00"
28829,"1962-04-15 00:00:00","Valery","Hellwagner","M","1986-12-29 00:00:00"
12580,"1958-02-19 00:00:00","Pramod","Journel","M","1986-12-29 00:00:00"
94778,"1957-03-22 00:00:00","Bader","Hempstead","F","1986-12-29 00:00:00"
431401,"1964-12-24 00:00:00","Greger","Serre","M","1986-12-29 00:00:00"
419559,"1957-10-08 00:00:00","Shushma","Orsini","F","1986-12-29 00:00:00"
40973,"1962-12-08 00:00:00","Sampalli","Isard","M","1986-12-29 00:00:00"
405198,"1955-08-31 00:00:00","Sahrah","Bahr","F","1986-12-29 00:00:00"
83165,"1957-11-10 00:00:00","Subhada","Ligten","F","1986-12-29 00:00:00"
33629,"1964-12-15 00:00:00","Dzung","Kamber","M","1986-12-29 00:00:00"
63693,"1955-09-01 00:00:00","Martien","Zultner","M","1986-12-29 00:00:00"
425559,"1961-12-01 00:00:00","Ebbe","Schiper","F","1986-12-29 00:00:00"
290544,"1953-05-21 00:00:00","Shahab","Pena","M","1986-12-29 00:00:00"
291920,"1957-05-06 00:00:00","Marsha","Chvatal","F","1986-12-29 00:00:00"
438782,"1955-03-08 00:00:00","Susuma","Peha","F","1986-12-29 00:00:00"
13156,"1952-04-19 00:00:00","Akeel","Millington","M","1986-12-29 00:00:00"
91601,"1956-04-06 00:00:00","Sachin","Wixon","M","1986-12-29 00:00:00"
474513,"1964-03-23 00:00:00","Ishfaq","Collette","M","1986-12-29 00:00:00"
30516,"1953-08-05 00:00:00","Houman","Ishibashi","M","1986-12-29 00:00:00"
296116,"1954-03-05 00:00:00","Gererd","Bernini","M","1986-12-29 00:00:00"
401472,"1953-08-29 00:00:00","LiMin","Rijckaert","F","1986-12-29 00:00:00"
86233,"1960-12-01 00:00:00","Cristinel","Wiegley","M","1986-12-29 00:00:00"
239245,"1962-12-24 00:00:00","Ranga","Perry","M","1986-12-29 00:00:00"
30821,"1960-08-11 00:00:00","Jayson","Halevi","M","1986-12-29 00:00:00"
41399,"1954-12-17 00:00:00","Xiaoheng","Broomell","M","1986-12-29 00:00:00"
32249,"1958-10-12 00:00:00","Oldrich","Demizu","M","1986-12-29 00:00:00"
460913,"1952-06-07 00:00:00","Kwangho","Baer","M","1986-12-28 00:00:00"
281776,"1954-02-28 00:00:00","Radoslaw","Nilsson","M","1986-12-28 00:00:00"
298976,"1954-07-02 00:00:00","Ramachenga","Figueira","M","1986-12-28 00:00:00"
475945,"1959-03-01 00:00:00","Khun","Zielinski","F","1986-12-28 00:00:00"
65721,"1954-04-23 00:00:00","Marjo","Snedden","F","1986-12-28 00:00:00"
71889,"1952-07-13 00:00:00","Tristan","Hennebert","F","1986-12-28 00:00:00"
472548,"1957-01-09 00:00:00","Karsten","Gist","F","1986-12-28 00:00:00"
296153,"1964-05-28 00:00:00","Zvonko","Boguraev","F","1986-12-28 00:00:00"
35354,"1958-03-12 00:00:00","Panayotis","Henders","F","1986-12-28 00:00:00"
100820,"1962-06-08 00:00:00","JoAnna","Atrawala","M","1986-12-28 00:00:00"
53532,"1953-12-19 00:00:00","Shimshon","Asmuth","M","1986-12-28 00:00:00"
491413,"1962-03-03 00:00:00","Kristina","Zastre","F","1986-12-28 00:00:00"
235562,"1952-07-11 00:00:00","Doohun","Beerel","M","1986-12-28 00:00:00"
87776,"1961-04-10 00:00:00","Nirmal","Heinisuo","F","1986-12-28 00:00:00"
499350,"1962-10-02 00:00:00","Dung","Khalid","M","1986-12-28 00:00:00"
251141,"1953-08-17 00:00:00","Xiaoshan","Kroha","F","1986-12-28 00:00:00"
455202,"1956-07-09 00:00:00","Sakthirel","Apsitis","M","1986-12-28 00:00:00"
495621,"1953-07-14 00:00:00","Serenella","Socorro","M","1986-12-28 00:00:00"
427448,"1958-01-03 00:00:00","Oddvar","Tasistro","M","1986-12-28 00:00:00"
290758,"1957-09-05 00:00:00","Somnath","Tetzlaff","M","1986-12-28 00:00:00"
235463,"1957-02-03 00:00:00","Fumiko","Mandell","F","1986-12-28 00:00:00"
